-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  19.0354   Longitude 73.0081 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,23.75,27.52,30.6,33.19,33.89,30.0,26.54,25.87,26.43,25.85,22.54,23.16,27.44
TS,1982,24.01,26.13,29.55,32.55,33.54,30.53,26.93,25.7,26.03,26.95,24.46,23.5,27.49
TS,1983,22.58,24.25,28.68,31.51,34.06,31.55,27.65,26.37,26.19,24.94,22.12,22.86,26.9
TS,1984,22.35,26.35,31.83,33.8,34.44,29.72,26.25,25.6,25.69,25.62,22.96,23.19,27.31
TS,1985,24.26,26.67,31.58,32.9,33.03,29.05,26.35,25.62,26.16,24.86,22.52,23.3,27.19
TS,1986,24.33,26.58,30.56,33.31,33.76,28.72,26.62,25.46,25.83,26.12,25.51,23.9,27.55
TS,1987,25.94,27.43,30.8,33.21,32.42,30.04,27.12,26.38,27.08,26.4,25.65,24.48,28.08
TS,1988,25.9,27.84,29.8,33.35,34.33,30.65,26.93,26.51,26.8,24.9,22.55,23.05,27.71
TS,1989,24.01,27.11,30.33,33.15,34.09,28.66,26.69,25.57,26.12,25.69,24.38,22.81,27.38
TS,1990,25.62,27.28,29.28,32.33,33.11,28.51,26.19,25.67,25.8,25.91,24.58,23.24,27.29
TS,1991,22.58,26.32,30.36,33.34,34.06,29.37,26.26,25.69,25.98,25.55,25.46,23.3,27.35
TS,1992,25.26,26.05,30.13,32.55,34.31,31.79,28.0,26.02,25.92,25.42,24.46,23.57,27.79
TS,1993,24.87,27.35,29.98,32.76,34.23,30.36,26.85,26.19,25.95,26.37,23.38,21.3,27.46
TS,1994,23.01,24.62,31.51,32.88,34.14,28.39,25.94,25.54,25.06,25.75,24.26,22.06,26.94
TS,1995,23.02,27.32,30.69,33.09,33.97,32.38,27.66,26.84,26.26,26.16,22.93,23.29,27.8
TS,1996,24.44,27.74,31.73,33.03,33.91,30.23,26.6,25.68,25.77,25.1,22.66,22.3,27.43
TS,1997,22.74,25.52,31.4,32.17,34.06,28.96,26.81,26.05,26.06,25.87,25.98,23.06,27.4
TS,1998,23.8,25.91,30.25,34.15,36.07,31.23,27.04,27.04,26.63,26.18,23.8,20.93,27.76
TS,1999,21.92,27.82,31.29,33.6,31.99,28.77,26.76,26.12,26.13,25.44,22.79,21.94,27.03
TS,2000,23.92,26.05,29.72,33.79,31.44,28.27,26.2,26.48,26.51,26.16,24.16,23.05,27.14
TS,2001,25.19,27.08,29.79,33.76,33.87,28.51,26.42,25.76,26.56,25.58,23.83,23.62,27.5
TS,2002,23.15,27.99,31.63,34.3,34.83,30.23,27.4,26.0,26.21,26.66,25.66,25.14,28.26
TS,2003,26.98,28.16,30.75,34.03,34.79,29.93,26.99,26.33,26.16,25.8,24.55,23.62,28.17
TS,2004,24.12,28.16,32.49,33.31,33.15,28.78,27.08,25.73,26.77,24.94,24.55,23.4,27.69
TS,2005,23.8,27.01,30.82,32.98,34.22,30.83,26.63,26.2,25.91,25.23,22.47,21.96,27.33
TS,2006,23.82,28.9,30.63,32.92,33.48,29.2,26.05,25.55,26.3,26.3,24.46,23.26,27.55
TS,2007,24.43,27.3,31.25,34.23,34.53,29.65,26.91,26.31,26.55,24.98,23.8,23.9,27.82
TS,2008,23.21,25.94,31.36,33.65,33.85,28.24,26.64,25.98,26.13,25.42,24.18,24.36,27.41
TS,2009,25.63,28.17,31.9,34.61,34.47,31.21,26.61,26.72,26.93,25.59,23.94,22.49,28.18
TS,2010,23.7,26.2,31.51,33.96,35.2,29.26,26.75,26.52,26.73,26.57,25.61,21.19,27.76
TS,2011,21.87,25.48,31.19,33.39,34.0,28.83,26.75,26.25,26.23,26.31,24.04,22.76,27.26
TS,2012,22.02,26.44,29.86,33.15,33.9,30.86,27.03,26.4,26.15,26.13,23.24,23.01,27.34
TS,2013,22.75,27.08,30.96,32.81,34.64,27.89,25.85,26.01,26.54,26.32,24.17,22.83,27.32
TS,2014,23.88,26.45,30.81,33.8,34.65,32.83,27.63,26.4,26.37,26.32,24.53,22.83,28.04
TS,2015,23.65,27.55,29.87,33.23,34.33,29.29,27.36,27.05,26.86,27.19,25.07,23.65,27.92
TS,2016,24.07,27.26,31.44,33.63,34.8,30.69,26.39,26.1,25.94,24.87,21.94,22.98,27.51
TS,2017,23.94,28.54,30.8,33.37,34.78,29.38,26.72,26.46,27.02,26.39,22.87,21.83,27.66
TS,2018,23.11,26.91,31.37,33.88,34.61,29.43,26.27,25.9,26.35,26.49,25.55,23.66,27.79
TS,2019,24.31,27.06,30.45,33.79,34.5,31.8,26.98,26.49,26.43,26.31,24.89,23.77,28.06
TS,2020,22.06,26.12,29.97,34.65,35.52,28.9,27.17,26.31,26.66,26.91,24.67,22.93,27.65
TS,2021,24.65,26.23,31.78,33.95,32.65,28.18,26.94,26.62,26.38,26.29,25.19,22.19,27.58
TS,2022,21.59,24.56,31.73,34.4,34.37,30.57,26.37,26.25,26.43,25.31,22.78,23.5,27.33
T2M,1981,22.83,26.01,28.29,30.48,30.84,28.8,26.45,25.73,26.22,25.9,22.82,23.04,26.44
T2M,1982,23.12,24.57,27.3,29.47,30.59,28.87,26.69,25.58,25.56,27.01,24.68,23.65,26.43
T2M,1983,22.37,22.85,26.43,28.62,30.76,29.41,27.16,26.15,25.9,24.98,22.58,22.69,25.84
T2M,1984,21.8,24.83,29.76,30.91,31.2,28.41,25.98,25.32,25.3,25.66,23.53,23.35,26.33
T2M,1985,23.51,25.23,29.61,29.93,30.11,27.98,25.99,25.37,25.62,25.06,23.15,23.32,26.24
T2M,1986,23.45,24.79,28.26,30.33,30.47,27.94,26.3,25.09,25.4,26.15,25.28,23.3,26.4
T2M,1987,24.7,25.64,28.48,30.25,30.3,28.7,26.87,26.29,26.65,26.68,25.71,24.33,27.05
T2M,1988,25.0,26.08,27.49,30.79,31.16,29.08,26.79,26.26,26.61,25.27,23.07,23.2,26.73
T2M,1989,23.38,25.69,27.98,30.43,30.91,27.75,26.37,25.38,25.77,26.13,24.85,22.8,26.45
T2M,1990,25.05,25.68,26.9,29.36,30.44,27.81,26.05,25.48,25.41,25.97,24.8,23.3,26.35
T2M,1991,22.26,24.73,28.09,30.45,31.12,28.38,26.23,25.52,25.51,25.81,25.33,22.97,26.37
T2M,1992,24.24,24.3,28.01,29.57,30.9,29.32,27.3,25.87,25.78,25.47,24.69,23.49,26.58
T2M,1993,24.04,25.91,27.65,29.85,31.08,28.83,26.58,25.91,25.7,26.4,23.69,21.9,26.46
T2M,1994,22.9,23.69,29.53,29.89,30.83,27.61,25.94,25.37,24.91,25.88,24.5,22.1,26.11
T2M,1995,22.3,25.51,28.13,30.57,30.91,29.95,27.11,26.34,25.98,26.3,23.31,23.15,26.63
T2M,1996,23.42,26.05,29.44,30.09,30.55,28.73,26.26,25.39,25.44,25.16,23.09,22.66,26.35
T2M,1997,22.19,24.3,29.39,29.33,30.52,28.1,26.58,25.84,25.64,25.83,25.9,22.7,26.37
T2M,1998,23.12,24.41,27.9,31.12,32.62,29.55,26.75,26.86,26.59,26.23,24.1,21.58,26.74
T2M,1999,21.68,26.71,29.12,30.46,29.48,27.69,26.53,25.74,25.76,25.6,23.36,22.33,26.19
T2M,2000,23.43,24.17,27.58,30.73,29.22,27.58,25.98,26.09,26.26,26.33,24.71,23.32,26.28
T2M,2001,24.2,25.55,27.24,30.81,30.76,27.7,26.24,25.63,26.16,25.8,24.38,23.71,26.51
T2M,2002,22.4,26.3,29.45,31.35,31.51,28.83,26.87,25.8,25.83,26.9,25.59,24.59,27.12
T2M,2003,25.75,26.37,28.58,31.0,31.3,28.78,26.95,26.22,25.9,25.94,24.76,23.42,27.08
T2M,2004,23.26,26.4,30.39,30.37,30.87,27.98,26.76,25.74,26.48,25.06,25.02,23.6,26.82
T2M,2005,22.84,25.26,28.3,30.58,31.01,29.33,26.63,26.01,25.87,25.5,23.08,22.26,26.39
T2M,2006,23.42,27.49,28.19,29.7,30.6,28.24,26.02,25.46,26.09,26.44,24.64,23.55,26.64
T2M,2007,23.98,25.51,28.94,31.37,31.12,28.74,26.81,26.26,26.39,25.24,24.12,23.7,26.85
T2M,2008,22.49,24.21,28.94,30.63,30.58,27.72,26.46,25.81,25.94,25.72,24.65,24.55,26.48
T2M,2009,24.91,26.62,29.67,31.96,31.23,29.4,26.48,26.4,26.62,25.99,24.34,23.01,27.21
